source_file,dataset_split,audit_highlighted_word_count,audit_card_word_count,causal_word_count,certainty_word_count,impact_word_count,numeric_reference_count,highlighted_word_ratio,has_highlight_text
ArizonaState-SaSm-Neg-3---Gonzaga-Round-1.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ArizonaState-SaSm-Neg-3---Gonzaga-Round-4.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ArizonaState-SaSm-Neg-3---Gonzaga-Round-5.docx,train,197.0,3362.0,0.0,1.0,4.0,2.0,0.05859607376561571,True
ArizonaState-SaSm-Neg-3---Gonzaga-Round-7.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Baylor-DaLa-Neg-Gonzaga-Round-2.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Baylor-DaLa-Neg-Gonzaga-Round-3.docx,validation,2317.0,33968.0,12.0,8.0,12.0,13.0,0.06821125765426284,True
Baylor-DaLa-Neg-Gonzaga-Round-6.docx,test,1019.0,11813.0,4.0,5.0,16.0,14.0,0.08626089900956574,True
Baylor-DaLa-Neg-Gonzaga-Round-8.docx,train,1305.0,29614.0,2.0,11.0,15.0,25.0,0.044066995340041874,True
CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-4.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-6.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-8.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
CSULongBeach-OrMe-Neg-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-1.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
CSULongBeach-OrMe-Neg-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-3.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
CSULongBeach-OrMe-Neg-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-5.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
CSULongBeach-OrMe-Neg-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-7.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-CaGo-Aff-4---Gonzaga-Round-2.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-CaGo-Aff-4---Gonzaga-Round-4.docx,test,1283.0,21968.0,2.0,9.0,2.0,9.0,0.058403131828113616,True
DartmouthCollege-CaGo-Aff-4---Gonzaga-Round-6.docx,test,1603.0,26968.0,1.0,10.0,1.0,11.0,0.05944081874814595,True
DartmouthCollege-CaGo-Aff-4---Gonzaga-Round-8.docx,train,317.0,14776.0,3.0,1.0,6.0,3.0,0.021453708716838115,True
DartmouthCollege-CaGo-Neg-4---Gonzaga-Round-1.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-CaGo-Neg-4---Gonzaga-Round-3.docx,train,449.0,5230.0,1.0,3.0,1.0,4.0,0.0858508604206501,True
DartmouthCollege-CaGo-Neg-4---Gonzaga-Round-5.docx,validation,1801.0,21675.0,4.0,14.0,6.0,14.0,0.08309111880046136,True
DartmouthCollege-CaGo-Neg-4---Gonzaga-Round-7.docx,test,906.0,11498.0,0.0,7.0,0.0,30.0,0.0787963124021569,True
DartmouthCollege-JoRa-Aff-2---Gonzaga-Round-1.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-JoRa-Aff-2---Gonzaga-Round-4.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-JoRa-Aff-2---Gonzaga-Round-6.docx,train,697.0,5171.0,0.0,0.0,0.0,0.0,0.13479017598143492,True
DartmouthCollege-JoRa-Aff-2---Gonzaga-Round-7.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-JoRa-Neg-2---Gonzaga-Round-2.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-JoRa-Neg-2---Gonzaga-Round-3.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-JoRa-Neg-2---Gonzaga-Round-5.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
DartmouthCollege-JoRa-Neg-2---Gonzaga-Round-8.docx,train,2510.0,16223.0,3.0,4.0,3.0,5.0,0.15471860938174198,True
Emory-ChRa-Aff-Gonzaga-Round-1.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-ChRa-Aff-Gonzaga-Round-3.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-ChRa-Aff-Gonzaga-Round-5.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-ChRa-Aff-Gonzaga-Round-8.docx,test,191.0,1560.0,0.0,0.0,0.0,7.0,0.12243589743589743,True
Emory-ChRa-Neg-Gonzaga-Round-2.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-ChRa-Neg-Gonzaga-Round-4.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-ChRa-Neg-Gonzaga-Round-6.docx,train,244.0,3493.0,2.0,2.0,2.0,1.0,0.0698539937016891,True
Emory-ChRa-Neg-Gonzaga-Round-7.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-CrSt-Aff-Gonzaga-Round-1.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-CrSt-Aff-Gonzaga-Round-3.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-CrSt-Aff-Gonzaga-Round-5.docx,test,358.0,4197.0,0.0,3.0,1.0,0.0,0.08529902311174649,True
Emory-CrSt-Aff-Gonzaga-Round-7.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-CrSt-Neg-Gonzaga-Round-4.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-CrSt-Neg-Gonzaga-Round-6.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GaSo-Aff-4.-Gonzaga-Round-3.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GaSo-Aff-4.-Gonzaga-Round-6.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GaSo-Aff-4.-Gonzaga-Round-7.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GaSo-Neg-4.-Gonzaga-Round-2.docx,train,2067.0,31791.0,8.0,9.0,6.0,18.0,0.06501840143436821,True
Emory-GaSo-Neg-4.-Gonzaga-Round-4.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GaSo-Neg-4.-Gonzaga-Round-5.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GaSo-Neg-4.-Gonzaga-Round-8.docx,train,24.0,242.0,0.0,0.0,0.0,0.0,0.09917355371900827,True
Emory-GrCh-Aff-3---Gonzaga-Round-1.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GrCh-Aff-3---Gonzaga-Round-4.docx,train,784.0,5530.0,4.0,1.0,1.0,2.0,0.14177215189873418,True
Emory-GrCh-Aff-3---Gonzaga-Round-6.docx,train,140.0,2192.0,1.0,1.0,5.0,0.0,0.06386861313868614,True
Emory-GrCh-Aff-3---Gonzaga-Round-7.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GrCh-Neg-3---Gonzaga-Round-2.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GrCh-Neg-3---Gonzaga-Round-3.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GrCh-Neg-3---Gonzaga-Round-5.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-GrCh-Neg-3---Gonzaga-Round-8.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-LoYa-Aff-03---Gonzaga-Round-2.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-LoYa-Aff-03---Gonzaga-Round-4.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-LoYa-Aff-03---Gonzaga-Round-6.docx,train,550.0,5704.0,1.0,1.0,1.0,0.0,0.09642356241234222,True
Emory-LoYa-Aff-03---Gonzaga-Round-7.docx,validation,1313.0,15250.0,4.0,1.0,10.0,6.0,0.0860983606557377,True
Emory-LoYa-Neg-03---Gonzaga-Round-1.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-LoYa-Neg-03---Gonzaga-Round-3.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-LoYa-Neg-03---Gonzaga-Round-5.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-LoYa-Neg-03---Gonzaga-Round-8.docx,train,613.0,4891.0,2.0,1.0,1.0,9.0,0.12533224289511347,True
Emory-RuYo-Aff-3.-Gonzaga-Round-1.docx,train,971.0,10610.0,3.0,4.0,2.0,0.0,0.09151743638077285,True
Emory-RuYo-Aff-3.-Gonzaga-Round-3.docx,validation,1349.0,14682.0,3.0,6.0,17.0,4.0,0.09188121509331154,True
Emory-RuYo-Aff-3.-Gonzaga-Round-5.docx,train,374.0,4223.0,1.0,4.0,1.0,2.0,0.08856263319914752,True
Emory-RuYo-Aff-3.-Gonzaga-Round-8.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-RuYo-Neg-3.-Gonzaga-Round-2.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-RuYo-Neg-3.-Gonzaga-Round-4.docx,train,1193.0,13714.0,7.0,6.0,7.0,18.0,0.08699139565407613,True
Emory-RuYo-Neg-3.-Gonzaga-Round-7.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-StTa-Aff-Gonzaga-Round-2.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-StTa-Aff-Gonzaga-Round-5.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-StTa-Aff-Gonzaga-Round-8.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-StTa-Neg-Gonzaga-Round-1.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-StTa-Neg-Gonzaga-Round-3.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-StTa-Neg-Gonzaga-Round-6.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-StTa-Neg-Gonzaga-Round-7.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-WaKi-Aff-Gonzaga-University-Jesuit-Debates-Round-2.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-WaKi-Aff-Gonzaga-University-Jesuit-Debates-Round-4.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-WaKi-Aff-Gonzaga-University-Jesuit-Debates-Round-6.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-WaKi-Aff-Gonzaga-University-Jesuit-Debates-Round-8.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-WaKi-Neg-Gonzaga-University-Jesuit-Debates-Round-1.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-WaKi-Neg-Gonzaga-University-Jesuit-Debates-Round-3.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-WaKi-Neg-Gonzaga-University-Jesuit-Debates-Round-5.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Emory-WaKi-Neg-Gonzaga-University-Jesuit-Debates-Round-7.docx,train,122.0,2464.0,0.0,1.0,4.0,3.0,0.049512987012987016,True
GeorgeMason-WrWi-Aff-4---Gonzaga-Round-3.docx,validation,248.0,2956.0,1.0,1.0,0.0,2.0,0.08389715832205684,True
GeorgeMason-WrWi-Aff-4---Gonzaga-Round-5.docx,train,3486.0,44274.0,15.0,22.0,26.0,22.0,0.07873695622713105,True
GeorgeMason-WrWi-Aff-4---Gonzaga-Round-8.docx,train,2592.0,30084.0,15.0,13.0,21.0,14.0,0.086158755484643,True
GeorgeMason-WrWi-Neg-4---Gonzaga-Round-2.docx,train,164.0,2276.0,1.0,2.0,0.0,0.0,0.07205623901581722,True
GeorgeMason-WrWi-Neg-4---Gonzaga-Round-4.docx,train,629.0,8085.0,2.0,3.0,3.0,3.0,0.07779839208410637,True
GeorgeMason-WrWi-Neg-4---Gonzaga-Round-6.docx,train,908.0,3588.0,1.0,0.0,1.0,1.0,0.2530657748049052,True
GeorgeMason-WrWi-Neg-4---Gonzaga-Round-7.docx,train,3530.0,49232.0,10.0,17.0,22.0,31.0,0.07170133246668833,True
Georgetown-AgCo-Aff-04---Gonzaga-Round-1.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Georgetown-AgCo-Aff-04---Gonzaga-Round-4.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Georgetown-AgCo-Aff-04---Gonzaga-Round-6.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Georgetown-AgCo-Aff-04---Gonzaga-Round-8.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Georgetown-AgCo-Neg-04---Gonzaga-Round-2.docx,train,257.0,2205.0,1.0,1.0,0.0,0.0,0.1165532879818594,True
Georgetown-AgCo-Neg-04---Gonzaga-Round-3.docx,test,1039.0,12824.0,2.0,7.0,3.0,16.0,0.08101996257018092,True
Georgetown-AgCo-Neg-04---Gonzaga-Round-5.docx,validation,34.0,398.0,0.0,0.0,0.0,0.0,0.08542713567839195,True
Georgetown-AgCo-Neg-04---Gonzaga-Round-7.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Georgetown-LaNa-Aff-03---Gonzaga-Round-2.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Georgetown-LaNa-Aff-03---Gonzaga-Round-4.docx,validation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Georgetown-LaNa-Aff-03---Gonzaga-Round-5.docx,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Georgetown-LaNa-Aff-03---Gonzaga-Round-7.docx,train,152.0,970.0,0.0,1.0,0.0,0.0,0.15670103092783505,True
Georgetown-LaNa-Neg-03---Gonzaga-Round-1.docx,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
